cntr,coadd_id,decl,ra,source_id,w1mpro,w2mpro,w3mpro,w4mpro
15100001351032632,0015p000_ac51,-0.05118000,1.56723000,0015p000_ac51-032632,17.09800000,16.93300000,12.53000000,8.76000000
15100001351032829,0015p000_ac51,-0.12152390,1.56113310,0015p000_ac51-032829,17.57000000,16.42600000,12.09600000,8.80100000
15100001351031377,0015p000_ac51,-0.05646050,1.56999040,0015p000_ac51-031377,15.76200000,15.39400000,11.98100000,8.31100000
15100001351031372,0015p000_ac51,-0.10471730,1.54625650,0015p000_ac51-031372,15.60600000,15.25500000,12.43000000,8.07400000
15100001351032370,0015p000_ac51,-0.04771120,1.50689050,0015p000_ac51-032370,17.24500000,16.73200000,12.57200000,8.79400000
15100001351032925,0015p000_ac51,-0.07397510,1.57925370,0015p000_ac51-032925,17.65900000,17.20700000,12.32700000,8.34400000
15100001351031481,0015p000_ac51,-0.14110920,1.52832780,0015p000_ac51-031481,16.05200000,16.13900000,11.77300000,8.57700000
15100001351018520,0015p000_ac51,-0.20378030,1.56097870,0015p000_ac51-018520,17.57800000,16.43300000,12.32400000,8.24400000
15100001351032337,0015p000_ac51,-0.00331500,1.50429880,0015p000_ac51-032337,17.15200000,16.48100000,12.55400000,8.87300000
15100001351031271,0015p000_ac51,-0.12363480,1.51913260,0015p000_ac51-031271,14.79500000,14.47000000,11.75700000,8.82300000
15100001351031975,0015p000_ac51,-0.08942840,1.54971940,0015p000_ac51-031975,16.95400000,17.06600000,12.56600000,8.23700000
15100001351031217,0015p000_ac51,-0.07372630,1.53639170,0015p000_ac51-031217,12.53900000,12.55500000,12.29100000,8.75100000
15100001351019156,0015p000_ac51,-0.22529790,1.57091330,0015p000_ac51-019156,17.97200000,16.34600000,11.93300000,4.48000000
15100001351018342,0015p000_ac51,-0.15833300,1.54614630,0015p000_ac51-018342,16.52900000,16.88900000,12.32100000,8.16800000
15100001351032391,0015p000_ac51,-0.03629580,1.52759280,0015p000_ac51-032391,17.60900000,16.63100000,12.55200000,8.83200000
15100001351031233,0015p000_ac51,-0.14168880,1.57650450,0015p000_ac51-031233,13.89000000,13.66600000,12.37700000,8.51000000
15100001351032313,0015p000_ac51,-0.03012900,1.52700450,0015p000_ac51-032313,17.33300000,16.42300000,11.86000000,8.88600000
15100001351032167,0015p000_ac51,-0.03998820,1.51178320,0015p000_ac51-032167,17.14100000,16.30200000,12.10700000,8.84400000
15100001351031938,0015p000_ac51,-0.03067470,1.58563530,0015p000_ac51-031938,17.49100000,16.53800000,11.94200000,8.63800000
15100001351031640,0015p000_ac51,-0.02377970,1.59012150,0015p000_ac51-031640,16.91600000,16.60000000,11.73400000,8.86200000
15100001351018183,0015p000_ac51,-0.16090360,1.54825160,0015p000_ac51-018183,16.22500000,16.09800000,12.50900000,8.65900000
15100001351031475,0015p000_ac51,-0.11802760,1.54759970,0015p000_ac51-031475,16.05700000,15.95300000,12.23900000,8.46100000
15100001351031685,0015p000_ac51,-0.07301180,1.51372790,0015p000_ac51-031685,16.30400000,16.31900000,11.82300000,8.65100000
15100001351032016,0015p000_ac51,-0.13436330,1.54553480,0015p000_ac51-032016,17.10700000,16.83900000,11.98600000,8.50800000
15100001351018623,0015p000_ac51,-0.19278300,1.54719470,0015p000_ac51-018623,17.36300000,16.47700000,12.15800000,8.45700000
15100001351032710,0015p000_ac51,-0.15328820,1.58757910,0015p000_ac51-032710,17.16400000,16.42700000,12.34900000,8.59900000
15100001351031634,0015p000_ac51,-0.15398880,1.57615480,0015p000_ac51-031634,16.48700000,16.05800000,12.46300000,8.77000000
15100001351031953,0015p000_ac51,-0.01658870,1.54718830,0015p000_ac51-031953,17.29800000,17.08000000,12.28000000,8.57200000
15100001351020251,0015p000_ac51,-0.24426720,1.57018550,0015p000_ac51-020251,17.79200000,16.67600000,12.01000000,6.22700000
15100001351031988,0015p000_ac51,-0.01197000,1.54603040,0015p000_ac51-031988,17.11400000,17.04100000,12.45200000,8.76500000
15100001351031432,0015p000_ac51,-0.03089150,1.55603740,0015p000_ac51-031432,16.04400000,15.35100000,11.66300000,8.49800000
15100001351018207,0015p000_ac51,-0.27072650,1.58500150,0015p000_ac51-018207,16.68500000,15.82800000,12.11300000,8.19600000
15100001351032148,0015p000_ac51,-0.01551600,1.51139180,0015p000_ac51-032148,16.94900000,16.65600000,12.15600000,8.56400000
15100001351019391,0015p000_ac51,-0.17636890,1.57908220,0015p000_ac51-019391,17.51400000,17.16500000,12.43200000,8.62900000
15100001351019830,0015p000_ac51,-0.22130410,1.56543320,0015p000_ac51-019830,17.71500000,16.79600000,11.39900000,4.86600000
15100001351031378,0015p000_ac51,-0.04640260,1.56167480,0015p000_ac51-031378,15.70400000,15.56800000,11.96300000,8.55600000
15100001351019231,0015p000_ac51,-0.23796710,1.56670060,0015p000_ac51-019231,17.96100000,16.24500000,11.69300000,4.31600000
15100001351020281,0015p000_ac51,-0.24265500,1.57822180,0015p000_ac51-020281,16.57700000,15.37100000,10.35100000,5.19100000
15100001351032329,0015p000_ac51,-0.12993400,1.57835010,0015p000_ac51-032329,17.38200000,16.86300000,12.02300000,8.53300000
15100001351018436,0015p000_ac51,-0.22646800,1.57772290,0015p000_ac51-018436,17.69400000,16.18500000,12.03000000,3.96800000
15100001351031868,0015p000_ac51,-0.10045800,1.52086460,0015p000_ac51-031868,16.73500000,16.19600000,12.39900000,8.40500000
15100001351019953,0015p000_ac51,-0.21463770,1.55071780,0015p000_ac51-019953,18.05500000,16.12300000,11.61200000,4.72300000
15100001351020645,0015p000_ac51,-0.21495630,1.55555300,0015p000_ac51-020645,18.49900000,16.93300000,11.64000000,4.84200000
15100001351031966,0015p000_ac51,-0.03182450,1.57889540,0015p000_ac51-031966,17.47300000,17.14600000,12.20400000,8.38500000
15100001351020237,0015p000_ac51,-0.25004360,1.58873760,0015p000_ac51-020237,16.02500000,15.34400000,10.68100000,6.61000000
15100001351031677,0015p000_ac51,-0.02016350,1.52826560,0015p000_ac51-031677,16.42900000,16.63400000,11.87200000,9.03200000
15100001351017872,0015p000_ac51,-0.20452630,1.57893360,0015p000_ac51-017872,14.16200000,14.17100000,12.34800000,8.29700000
15100001351031797,0015p000_ac51,-0.15210840,1.57382030,0015p000_ac51-031797,16.82400000,16.25100000,12.30000000,8.54400000
15100001351019857,0015p000_ac51,-0.24378180,1.58453890,0015p000_ac51-019857,17.65100000,16.86000000,11.87100000,4.56500000
15100001351031340,0015p000_ac51,-0.01042060,1.55437770,0015p000_ac51-031340,15.49300000,15.16600000,11.75500000,8.81500000
15100001351032124,0015p000_ac51,-0.10771710,1.51847010,0015p000_ac51-032124,17.41600000,16.89000000,11.89800000,8.93200000
15100001351031995,0015p000_ac51,-0.08347960,1.51372620,0015p000_ac51-031995,16.77500000,16.34500000,11.62700000,8.58500000
15100001351031281,0015p000_ac51,-0.11627100,1.56482500,0015p000_ac51-031281,14.92900000,14.94000000,11.92300000,8.43500000
15100001351020216,0015p000_ac51,-0.23019930,1.58156990,0015p000_ac51-020216,18.08100000,16.38900000,11.55500000,4.06800000
15100001351032810,0015p000_ac51,-0.02580750,1.54064140,0015p000_ac51-032810,17.65000000,17.20900000,12.49000000,8.95300000
15100001351019250,0015p000_ac51,-0.22709830,1.58482240,0015p000_ac51-019250,18.01200000,16.27400000,11.95300000,4.52500000
15100001351031715,0015p000_ac51,-0.11429630,1.54573420,0015p000_ac51-031715,16.69400000,16.25700000,12.11500000,8.12700000
15100001351017848,0015p000_ac51,-0.22181680,1.55721380,0015p000_ac51-017848,18.12600000,16.73800000,11.81600000,3.90000000
15100001351018654,0015p000_ac51,-0.17419850,1.53368280,0015p000_ac51-018654,17.35300000,17.07200000,12.32000000,8.39800000
15100001351019589,0015p000_ac51,-0.21786290,1.55847310,0015p000_ac51-019589,18.53400000,16.64200000,11.59300000,4.42800000
15100001351019962,0015p000_ac51,-0.21523410,1.55839320,0015p000_ac51-019962,18.38000000,16.16100000,11.86300000,5.65800000
15100001351032891,0015p000_ac51,-0.12390920,1.53967570,0015p000_ac51-032891,17.55300000,16.76000000,12.29000000,8.72200000
15100001351031532,0015p000_ac51,-0.13328690,1.53866300,0015p000_ac51-031532,16.14900000,16.10300000,11.75500000,8.32700000
15100001351032324,0015p000_ac51,-0.12601280,1.59000720,0015p000_ac51-032324,17.41400000,16.43200000,12.01600000,8.53300000
15100001351031513,0015p000_ac51,-0.13793680,1.52419380,0015p000_ac51-031513,16.08100000,16.05100000,12.01500000,8.58800000
15100001351032007,0015p000_ac51,-0.02645660,1.55098340,0015p000_ac51-032007,17.00700000,16.58500000,12.18200000,8.92200000
15100001351020008,0015p000_ac51,-0.21122620,1.56094270,0015p000_ac51-020008,18.58000000,17.01100000,11.61700000,6.25800000
15100001351017796,0015p000_ac51,-0.22784120,1.57008760,0015p000_ac51-017796,17.36700000,15.87600000,11.74400000,3.97800000
15100001351020300,0015p000_ac51,-0.23008010,1.55700530,0015p000_ac51-020300,18.53700000,17.01500000,11.65400000,4.67200000
15100001351018736,0015p000_ac51,-0.24773000,1.58063690,0015p000_ac51-018736,18.09200000,17.10900000,12.01400000,5.95400000
15100001351032021,0015p000_ac51,-0.07830970,1.58858290,0015p000_ac51-032021,17.37800000,16.94700000,11.87500000,8.63900000
15100001351018070,0015p000_ac51,-0.25071890,1.57642610,0015p000_ac51-018070,15.98300000,15.69500000,11.81200000,6.02500000
15100001351018216,0015p000_ac51,-0.16244170,1.57654000,0015p000_ac51-018216,16.46000000,15.85100000,11.75500000,8.57400000
15100001351031862,0015p000_ac51,-0.12942770,1.58287850,0015p000_ac51-031862,16.99300000,16.66700000,12.19700000,8.31600000
15100001351031259,0015p000_ac51,-0.01337130,1.57536370,0015p000_ac51-031259,14.66200000,14.73500000,12.53200000,8.61900000
15100001351019199,0015p000_ac51,-0.22385460,1.57311220,0015p000_ac51-019199,17.25800000,16.49200000,12.17800000,4.32400000
15100001351032860,0015p000_ac51,-0.10761110,1.53448680,0015p000_ac51-032860,17.58800000,16.54100000,12.34100000,8.90000000
15100001351031366,0015p000_ac51,-0.11221090,1.55725270,0015p000_ac51-031366,15.49700000,15.26400000,12.54900000,8.61800000
15100001351031550,0015p000_ac51,-0.11457290,1.54864320,0015p000_ac51-031550,16.31100000,15.89600000,11.77700000,8.02600000
15100001351031279,0015p000_ac51,-0.09213870,1.52705970,0015p000_ac51-031279,14.90900000,14.58500000,12.45000000,8.83500000
15100001351017808,0015p000_ac51,-0.23498480,1.56134990,0015p000_ac51-017808,18.36800000,16.61000000,11.77800000,3.85100000
15100001351032434,0015p000_ac51,-0.08730270,1.57365090,0015p000_ac51-032434,17.44500000,16.57700000,12.45500000,8.32100000
15100001351017788,0015p000_ac51,-0.23183960,1.58078230,0015p000_ac51-017788,18.14300000,16.45200000,11.27100000,3.87900000
15100001351019375,0015p000_ac51,-0.22348080,1.56837550,0015p000_ac51-019375,18.57200000,16.38700000,11.30300000,5.09200000
15100001351031394,0015p000_ac51,-0.09006500,1.59026570,0015p000_ac51-031394,15.85100000,15.30300000,11.72900000,8.86900000
15100001351032036,0015p000_ac51,-0.08531680,1.56658810,0015p000_ac51-032036,17.10400000,16.24400000,12.10000000,8.82800000
15100001351032228,0015p000_ac51,-0.10975740,1.58737550,0015p000_ac51-032228,17.20400000,16.53500000,12.02600000,8.54400000
15100001351031801,0015p000_ac51,-0.00806830,1.56501820,0015p000_ac51-031801,17.20700000,16.47800000,12.27200000,8.31100000
15100001351031488,0015p000_ac51,-0.02600380,1.55454180,0015p000_ac51-031488,16.07300000,15.80600000,12.51200000,8.52300000
15100001351019256,0015p000_ac51,-0.22895540,1.57750910,0015p000_ac51-019256,18.46800000,16.55200000,11.76800000,4.15200000
15100001351018331,0015p000_ac51,-0.17688310,1.55244640,0015p000_ac51-018331,16.69800000,16.68700000,12.10400000,8.48600000
15100001351017804,0015p000_ac51,-0.22966090,1.56299110,0015p000_ac51-017804,17.18200000,15.71100000,10.77100000,3.96200000
15100001351031325,0015p000_ac51,-0.00792730,1.50312430,0015p000_ac51-031325,15.26600000,14.91000000,12.54800000,9.04200000
15100001351031655,0015p000_ac51,-0.00646870,1.57778280,0015p000_ac51-031655,16.47600000,16.63500000,12.17500000,8.72500000
15100001351018317,0015p000_ac51,-0.21598950,1.56494520,0015p000_ac51-018317,14.60900000,14.28500000,10.19500000,5.11400000
15100001351020320,0015p000_ac51,-0.25175320,1.57008120,0015p000_ac51-020320,17.14400000,16.66700000,12.14100000,6.80200000
15100001351031477,0015p000_ac51,-0.08193160,1.57953540,0015p000_ac51-031477,16.18500000,15.77000000,12.04400000,8.29900000
15100001351031521,0015p000_ac51,-0.00430910,1.57888180,0015p000_ac51-031521,16.24300000,16.34600000,12.46500000,8.22500000
15100001351031857,0015p000_ac51,-0.09730810,1.55985940,0015p000_ac51-031857,16.72500000,16.80100000,12.05200000,8.61800000
15100001351031819,0015p000_ac51,-0.02693210,1.52241240,0015p000_ac51-031819,16.66700000,16.59200000,12.36600000,8.86800000
15100001351032480,0015p000_ac51,-0.01472130,1.50417340,0015p000_ac51-032480,17.51900000,16.89100000,12.09500000,8.61300000
15100001351031910,0015p000_ac51,-0.10940650,1.53140810,0015p000_ac51-031910,17.03700000,16.73600000,12.55000000,8.93800000
15100001351018044,0015p000_ac51,-0.24047040,1.58978350,0015p000_ac51-018044,16.76700000,15.96300000,11.92100000,4.18400000
15100001351031977,0015p000_ac51,-0.06966750,1.51437510,0015p000_ac51-031977,16.81900000,16.05600000,12.44400000,8.52200000
15100001351032104,0015p000_ac51,-0.10134260,1.51643120,0015p000_ac51-032104,17.23700000,16.84600000,12.39600000,8.74600000
15100001351031376,0015p000_ac51,-0.08455570,1.57899480,0015p000_ac51-031376,15.65500000,15.27700000,11.83200000,8.10800000
15100001351032953,0015p000_ac51,-0.08880280,1.56164740,0015p000_ac51-032953,17.48900000,16.81300000,12.05700000,8.28300000
15100001351031840,0015p000_ac51,-0.01309220,1.51038410,0015p000_ac51-031840,16.65900000,17.19100000,12.46900000,8.64000000
15100001351032416,0015p000_ac51,-0.05662820,1.53369330,0015p000_ac51-032416,17.31700000,16.44200000,12.54800000,8.83100000
15100001351032841,0015p000_ac51,-0.14276870,1.56880270,0015p000_ac51-032841,17.49900000,16.59900000,12.00600000,8.72800000
15100001351031449,0015p000_ac51,-0.15143040,1.56229410,0015p000_ac51-031449,15.92700000,16.22900000,12.49400000,8.70400000
15100001351017838,0015p000_ac51,-0.26330550,1.57676220,0015p000_ac51-017838,14.00800000,14.02800000,12.21300000,8.51800000
15100001351031709,0015p000_ac51,-0.02982390,1.51825410,0015p000_ac51-031709,16.54000000,16.08500000,12.57100000,8.65600000
15100001351020078,0015p000_ac51,-0.22331720,1.58488390,0015p000_ac51-020078,17.15700000,15.21600000,11.26300000,6.12500000
15100001351032759,0015p000_ac51,-0.01765470,1.53785580,0015p000_ac51-032759,17.58800000,17.00900000,12.51300000,8.89200000
15100001351019771,0015p000_ac51,-0.21830960,1.58505390,0015p000_ac51-019771,17.85500000,17.14300000,11.81100000,7.46300000
15100001351031195,0015p000_ac51,-0.05416590,1.58415860,0015p000_ac51-031195,8.30800000,8.47200000,8.30300000,8.26700000
15100001351031522,0015p000_ac51,-0.08636460,1.58595120,0015p000_ac51-031522,16.20300000,15.71700000,11.84200000,8.19500000
15100001351031493,0015p000_ac51,-0.11728710,1.52592630,0015p000_ac51-031493,16.05800000,16.03700000,12.08500000,8.63500000
15100001351032060,0015p000_ac51,-0.13876340,1.55639930,0015p000_ac51-032060,17.15400000,16.60900000,12.07600000,8.35500000
15100001351032281,0015p000_ac51,-0.13558330,1.53132620,0015p000_ac51-032281,17.22800000,16.89400000,12.31000000,8.53400000
15100001351018194,0015p000_ac51,-0.15819100,1.58784460,0015p000_ac51-018194,16.31900000,16.25900000,12.39300000,8.79300000
15100001351031971,0015p000_ac51,-0.11917400,1.53925050,0015p000_ac51-031971,16.93400000,16.93900000,12.45100000,8.61400000
15100001351031970,0015p000_ac51,-0.06622070,1.54412800,0015p000_ac51-031970,17.01400000,17.13400000,12.24500000,8.63100000
15100001351032214,0015p000_ac51,-0.08949510,1.55622590,0015p000_ac51-032214,17.50200000,17.11400000,12.27400000,8.81100000
15100001351032872,0015p000_ac51,-0.08031020,1.54438060,0015p000_ac51-032872,17.64300000,16.50100000,12.53400000,8.84500000
15100001351032346,0015p000_ac51,-0.08515900,1.50819820,0015p000_ac51-032346,17.42700000,16.42400000,12.42400000,8.66900000
15100001351018512,0015p000_ac51,-0.17475540,1.57260320,0015p000_ac51-018512,17.02000000,16.52700000,12.39900000,8.37800000
15100001351017790,0015p000_ac51,-0.23376370,1.58598370,0015p000_ac51-017790,17.73700000,16.80500000,11.55300000,3.78700000
15100001351032249,0015p000_ac51,-0.10474550,1.53626160,0015p000_ac51-032249,17.62800000,16.68400000,11.95000000,8.87400000
15100001351019890,0015p000_ac51,-0.21643090,1.55073210,0015p000_ac51-019890,17.81400000,16.37200000,11.66700000,4.78000000
15100001351017970,0015p000_ac51,-0.22064290,1.59052160,0015p000_ac51-017970,15.84900000,16.04600000,12.03000000,6.13700000
15100001351020107,0015p000_ac51,-0.22218190,1.56874060,0015p000_ac51-020107,17.16100000,15.95700000,10.98800000,5.26400000
15100001351018200,0015p000_ac51,-0.16930040,1.55593300,0015p000_ac51-018200,16.23900000,16.40400000,12.26300000,8.77300000
15100001351032217,0015p000_ac51,-0.04284990,1.55383350,0015p000_ac51-032217,17.35500000,17.14100000,12.33500000,8.86300000
15100001351019460,0015p000_ac51,-0.22871890,1.59051020,0015p000_ac51-019460,18.15700000,16.04500000,11.14800000,4.72700000
15100001351017810,0015p000_ac51,-0.23269950,1.55870560,0015p000_ac51-017810,17.79200000,16.61000000,11.37700000,3.74800000
15100001351017800,0015p000_ac51,-0.22915970,1.57452080,0015p000_ac51-017800,18.61300000,16.74000000,11.46900000,4.11800000
15100001351017783,0015p000_ac51,-0.23871620,1.57565270,0015p000_ac51-017783,18.68200000,17.01900000,12.13800000,3.23600000
15100001351019805,0015p000_ac51,-0.23742630,1.57960680,0015p000_ac51-019805,17.87400000,16.81900000,11.45300000,4.49700000
15100001351018864,0015p000_ac51,-0.23989010,1.57968530,0015p000_ac51-018864,17.83100000,16.64900000,12.07400000,4.06200000
15100001351031804,0015p000_ac51,-0.02461930,1.50069950,0015p000_ac51-031804,16.71100000,16.45100000,11.84000000,8.56000000
15100001351032035,0015p000_ac51,-0.06642000,1.51918280,0015p000_ac51-032035,16.96800000,16.53300000,12.51200000,8.30000000
15100001351031903,0015p000_ac51,-0.13394870,1.55078640,0015p000_ac51-031903,16.99600000,16.15200000,11.86800000,8.60800000
15100001351031498,0015p000_ac51,-0.03730670,1.50496610,0015p000_ac51-031498,15.96800000,15.42300000,12.04500000,9.07600000
15100001351017807,0015p000_ac51,-0.23066490,1.56724530,0015p000_ac51-017807,18.19300000,16.37400000,11.80000000,4.12800000
15100001351031830,0015p000_ac51,-0.04902340,1.56444590,0015p000_ac51-031830,17.08000000,16.93500000,12.33000000,8.81000000
15100001351018509,0015p000_ac51,-0.18529700,1.56809850,0015p000_ac51-018509,16.81300000,16.76800000,12.44300000,8.20500000
15100001351031390,0015p000_ac51,-0.07497480,1.58281680,0015p000_ac51-031390,15.72900000,15.65600000,12.01900000,8.17800000
15100001351031321,0015p000_ac51,-0.04512410,1.57929790,0015p000_ac51-031321,15.45100000,15.33700000,11.75400000,8.91900000
15100001351020111,0015p000_ac51,-0.25333570,1.57371630,0015p000_ac51-020111,17.42400000,16.57200000,12.41100000,7.69300000
15100001351017787,0015p000_ac51,-0.23831290,1.57151430,0015p000_ac51-017787,18.58400000,16.74200000,11.77500000,4.07000000
15100001351017785,0015p000_ac51,-0.23416720,1.57580000,0015p000_ac51-017785,18.32500000,16.51000000,11.27700000,3.90200000
15100001351020022,0015p000_ac51,-0.23960560,1.58383410,0015p000_ac51-020022,18.55600000,17.02000000,11.84100000,4.91400000
15100001351019045,0015p000_ac51,-0.22993660,1.58786420,0015p000_ac51-019045,17.84600000,16.72900000,11.76600000,4.36900000
15100001351018715,0015p000_ac51,-0.16322990,1.56475880,0015p000_ac51-018715,16.98500000,16.49700000,12.22600000,8.80300000
15100001351018806,0015p000_ac51,-0.24815520,1.57471920,0015p000_ac51-018806,13.69600000,12.77500000,,4.97900000
15100001351018483,0015p000_ac51,-0.20369150,1.55796530,0015p000_ac51-018483,17.60400000,16.77900000,11.87200000,8.04200000
15100001351031381,0015p000_ac51,-0.06097730,1.57480710,0015p000_ac51-031381,15.79500000,15.38400000,11.90300000,8.86500000
15100001351031636,0015p000_ac51,-0.10462820,1.51657390,0015p000_ac51-031636,16.48300000,16.33100000,11.72400000,8.67700000
15100001351032704,0015p000_ac51,-0.08216560,1.51108560,0015p000_ac51-032704,17.41500000,16.96700000,12.52800000,8.80100000
15100001351020142,0015p000_ac51,-0.24219410,1.57639950,0015p000_ac51-020142,16.94400000,15.53500000,11.02300000,4.71500000
15100001351031342,0015p000_ac51,-0.01077250,1.52780950,0015p000_ac51-031342,15.39600000,15.14700000,11.63700000,8.47500000
15100001351031588,0015p000_ac51,-0.04070300,1.56398800,0015p000_ac51-031588,16.31000000,16.35100000,12.57100000,8.85000000
15100001351032442,0015p000_ac51,-0.03110670,1.50615740,0015p000_ac51-032442,17.42500000,16.89100000,12.21800000,8.71800000
15100001351018316,0015p000_ac51,-0.17436850,1.56888800,0015p000_ac51-018316,16.56500000,17.03500000,11.74300000,8.35700000
15100001351018178,0015p000_ac51,-0.17441270,1.58819800,0015p000_ac51-018178,16.27200000,15.86500000,12.17600000,8.79300000
15100001351032046,0015p000_ac51,-0.11061410,1.54913260,0015p000_ac51-032046,16.88400000,16.61300000,11.91500000,8.84300000
15100001351020421,0015p000_ac51,-0.24795110,1.56802870,0015p000_ac51-020421,17.56800000,16.13700000,11.08900000,6.46200000
15100001351018228,0015p000_ac51,-0.25883120,1.57867730,0015p000_ac51-018228,17.62700000,16.96800000,11.59900000,7.73200000
15100001351031331,0015p000_ac51,-0.03749640,1.57863270,0015p000_ac51-031331,15.46000000,15.88600000,12.32900000,8.79100000
15100001351032481,0015p000_ac51,-0.10399260,1.56626940,0015p000_ac51-032481,17.69500000,16.52800000,12.18000000,8.35000000
